post_id,title,keyword,keyword_text,snippet
181,11월23일 브리핑,score,점수,"분석 등급: 고신뢰도 (High Confidence) / 추천 빈도 4회(67%) * 현재 상태: 아직 시세 분출 전. * 관전 포인트: 프로그램이 가장 높은 점수를 부여했다는 것은 기술적 지표나 매집 패턴이 매우 양호하다는 뜻입니다. 현재 숨 고르기 중일 가능성이 높으므로, 오늘 내일 중으로 시세가 어떻게 변하는지 지켜볼 필요가 있습니다. ⭐ 트리하우스 (TREE) - 2순위 추천 * 분석 등급: 중신뢰도 / 추천 빈도 3"
181,11월23일 브리핑,accumulation,매집,"nfidence) / 추천 빈도 4회(67%) * 현재 상태: 아직 시세 분출 전. * 관전 포인트: 프로그램이 가장 높은 점수를 부여했다는 것은 기술적 지표나 매집 패턴이 매우 양호하다는 뜻입니다. 현재 숨 고르기 중일 가능성이 높으므로, 오늘 내일 중으로 시세가 어떻게 변하는지 지켜볼 필요가 있습니다. ⭐ 트리하우스 (TREE) - 2순위 추천 * 분석 등급: 중신뢰도 / 추천 빈도 3회 * 현재 상태: 거래량 75억 수준"
181,11월23일 브리핑,trading_value,거래대금,"고리즘이 보수적으로 계산했기 때문입니다. 안정적인 수익을 추구하는 제 프로그램의 방향성이 잘 드러난 부분입니다. * 수급 포착: 단순히 가격만 보는 것이 아니라 거래대금(Money Flow)을 함께 분석하니 실시간 급등주 포착률이 높아지고 있습니다. **'데이터는 거짓말을 하지 않는다'**는 것을 다시 한번 느낍니다. 1순위로 뽑힌 엑시인피니티가 과연 어떤 움직임을 보여줄지, 다음 리포트에서 결과를 공유하겠습니다. #가상화폐"
181,11월23일 브리핑,risk,리스크,"이 실리기 시작하면 빠르게 반응할 수 있는 위치로 보입니다. 💡 3. 알고리즘 개발자 코멘트 (Review) 오늘의 데이터는 꽤 흥미로운 인사이트를 줍니다. * 리스크 관리 로직의 작동: 14% 넘게 급등한 **'제로지'**를 추천하긴 했지만, **'저신뢰도'**로 분류했습니다. 이는 급등에 따른 하락 위험(Risk)을 알고리즘이 보수적으로 계산했기 때문입니다. 안정적인 수익을 추구하는 제 프로그램의 방향성이 잘 드러난 부분입"
182,파밍 코인분석기 후기 [데이터 분석] 급등 신호 포착!,accumulation,매집,"가 보여주는 '상승 전조'와 '오늘의 주도 섹터'를 확인하세요. 1. [복기] 11월 21일(금): ""상승의 시그널은 미리 온다"" 데이터의 흐름을 보면 세력의 매집과 급등 타이밍이 보입니다. 21일 하루 동안 발생한 극적인 순위 변화가 그 증거입니다. * 점심(12:55) → 저녁(19:11) 흐름 변화 * 히포프로토콜(HP)의 급부상: 점심시간 2번 추천(3위)에 머물렀던 히포프로토콜이, 저녁이 되자 **4번 추천(1위)*"
217,11월 11일 추천 코인 리스트 수익율 체크 (과거초기 분석 프로그램),risk,리스크,11T06:47 기준 3일간 분석 코인: 12개 평균 수익률: +28.28% 최고 수익률: +112.75% 상승 정확도: 100.0% [상위 코인 분석] 1위. 리스크 (Lisk) - +112.75% 시작가 287.193원 → 최고가 611원 2위. 커널다오 (KernelDAO) - +38.22% 시작가 153.374원 → 최고가 212원 3위. 앵커 (Ankr) - +32.33% 시작가 14.282원 → 최고가 18.9원 ※
262,코인분석기 3종,score,점수,"SHORT), 노란색은 관망 신호(HOLD)를 의미합니다. 각 사각형에 마우스를 올리면 해당 코인의 심볼이 표시됩니다. 1분마다 자동으로 갱신되며, 우측의 평균 점수와 롱/홀드/숏 개수 통계를 확인할 수 있습니다. 수익률 추적바 신호등 바 아래에 위치한 가로 스크롤 영역입니다. TRACK 기능을 사용하면 여기에 추적 중인 코인 카드가 표시됩니다. 각 카드에는 코인명, 진입가, 현재 수익률, 추적 시작 시간이 나타납니다. 수익이"
262,코인분석기 3종,score,점수,"0개 코인이 카드 형태로 배열되어 있습니다. 각 카드에는 다음 정보가 표시됩니다. 순위 배지 (거래대금 기준), 코인명과 심볼, 현재가, 24시간 변동률, 종합 점수, 매매 신호(LONG/SHORT/HOLD), 10개 보조지표의 미니 신호등, 점수 바가 한눈에 보입니다. 10개 보조지표 상세 설명 RSI (Relative Strength Index) 14봉 기준 상대강도지수입니다. 30 이하면 과매도로 매수 신호, 70 이상이"
262,코인분석기 3종,score,점수,"순위 배지 (거래대금 기준), 코인명과 심볼, 현재가, 24시간 변동률, 종합 점수, 매매 신호(LONG/SHORT/HOLD), 10개 보조지표의 미니 신호등, 점수 바가 한눈에 보입니다. 10개 보조지표 상세 설명 RSI (Relative Strength Index) 14봉 기준 상대강도지수입니다. 30 이하면 과매도로 매수 신호, 70 이상이면 과매수로 매도 신호입니다. 기본 가중치는 15%로 가장 높습니다. Stochas"
262,코인분석기 3종,score,점수,"기본 분석 확인하기 프로그램을 데이터를 가져와 분석을 시작합니다. 로딩 화면에서 마켓 로딩, 분석 진행 상황이 표시됩니다. 분석이 완료되면 30개 코인 카드가 점수 순서대로 정렬됩니다. 상단 신호등 바에서 전체 시장 분위기를 한눈에 파악할 수 있습니다. 녹색이 많으면 전반적 상승장, 빨간색이 많으면 하락장, 노란색이 많으면 횡보장입니다. 코인 상세 분석 보기 관심 있는 코인 카드를 터치하면 상세 분석 모달이 열립니다. 모달"
262,코인분석기 3종,score,점수,있는 코인 카드를 터치하면 상세 분석 모달이 열립니다. 모달 최상단에 코인명과 심볼이 표시됩니다. 그 아래 큰 글씨로 신호(LONG/SHORT/HOLD)와 종합 점수가 나타납니다. 점수 70점 이상이면서 LONG이면 강력 매수 신호입니다. 점수 55-70점이면서 LONG이면 매수 관심 구간입니다. 점수 30점 이하이면서 SHORT이면 강력 매도 신호입니다. 점수 31-45점이면서 SHORT이면 매도 관심 구간입니다. 그 외는
262,코인분석기 3종,score,점수,치하면 상세 분석 모달이 열립니다. 모달 최상단에 코인명과 심볼이 표시됩니다. 그 아래 큰 글씨로 신호(LONG/SHORT/HOLD)와 종합 점수가 나타납니다. 점수 70점 이상이면서 LONG이면 강력 매수 신호입니다. 점수 55-70점이면서 LONG이면 매수 관심 구간입니다. 점수 30점 이하이면서 SHORT이면 강력 매도 신호입니다. 점수 31-45점이면서 SHORT이면 매도 관심 구간입니다. 그 외는 관망(HOLD)입니다
262,코인분석기 3종,score,점수,심볼이 표시됩니다. 그 아래 큰 글씨로 신호(LONG/SHORT/HOLD)와 종합 점수가 나타납니다. 점수 70점 이상이면서 LONG이면 강력 매수 신호입니다. 점수 55-70점이면서 LONG이면 매수 관심 구간입니다. 점수 30점 이하이면서 SHORT이면 강력 매도 신호입니다. 점수 31-45점이면서 SHORT이면 매도 관심 구간입니다. 그 외는 관망(HOLD)입니다. 현재가와 24시간 변동률이 실시간으로 갱신됩니다. 10개
262,코인분석기 3종,score,점수,RT/HOLD)와 종합 점수가 나타납니다. 점수 70점 이상이면서 LONG이면 강력 매수 신호입니다. 점수 55-70점이면서 LONG이면 매수 관심 구간입니다. 점수 30점 이하이면서 SHORT이면 강력 매도 신호입니다. 점수 31-45점이면서 SHORT이면 매도 관심 구간입니다. 그 외는 관망(HOLD)입니다. 현재가와 24시간 변동률이 실시간으로 갱신됩니다. 10개 보조지표의 상세 수치와 개별 신호를 확인할 수 있습니다.
262,코인분석기 3종,score,점수,면서 LONG이면 강력 매수 신호입니다. 점수 55-70점이면서 LONG이면 매수 관심 구간입니다. 점수 30점 이하이면서 SHORT이면 강력 매도 신호입니다. 점수 31-45점이면서 SHORT이면 매도 관심 구간입니다. 그 외는 관망(HOLD)입니다. 현재가와 24시간 변동률이 실시간으로 갱신됩니다. 10개 보조지표의 상세 수치와 개별 신호를 확인할 수 있습니다. 각 지표 아래에 BUY/SELL/NEUTRAL 상태가 표시됩니
262,코인분석기 3종,score,점수,"를 체크하면 멀티타임프레임 분석이 활성화됩니다. 활성화되면 각 코인 카드에 MTF 배지가 추가로 표시됩니다. 상세 모달에서 1분, 3분, 5분, 15분봉 각각의 점수와 신호를 확인할 수 있습니다. MTF 컨센서스 항목에서 여러 시간대의 합의 신호를 확인합니다. STRONG LONG은 3개 이상 시간대에서 LONG 신호가 일치하는 경우입니다. STRONG SHORT는 3개 이상 시간대에서 SHORT 신호가 일치하는 경우입니다."
262,코인분석기 3종,score,점수,"치하여 TRACK 종료를 선택하거나, 추적바의 X 버튼을 터치합니다. 추적 데이터는 브라우저에 저장되어 새로고침해도 유지됩니다. 실전 매매 전략 기본 전략 종합 점수 70점 이상 + LONG 신호 + MTF 컨센서스 STRONG LONG 코인을 선별합니다. 현재가가 볼린저밴드 하단(BB%B 0.2 이하) 근처인지 확인합니다. RSI 30 이하, Stochastic 20 이하가 동시에 나타나면 과매도 반등 가능성이 높습니다. 진"
262,코인분석기 3종,score,점수,". RSI, Stochastic RSI, Williams %R, CCI, MFI, 볼린저밴드, ADX 등 7가지 핵심 지표를 분석하여 0-100점 사이의 바닥권 점수를 산출합니다. 점수가 높을수록 현재 가격이 바닥권에 가깝다는 의미이며, 반등 가능성이 높은 종목을 선별하는 데 활용합니다. 단타용 미니맵이 실시간 매매 타이밍에 초점을 맞춘다면, 바닥권 분석기는 저점 매수 기회 발굴에 특화되어 있습니다. 화면 구성 설명 분석 설정"
262,코인분석기 3종,score,점수,"hastic RSI, Williams %R, CCI, MFI, 볼린저밴드, ADX 등 7가지 핵심 지표를 분석하여 0-100점 사이의 바닥권 점수를 산출합니다. 점수가 높을수록 현재 가격이 바닥권에 가깝다는 의미이며, 반등 가능성이 높은 종목을 선별하는 데 활용합니다. 단타용 미니맵이 실시간 매매 타이밍에 초점을 맞춘다면, 바닥권 분석기는 저점 매수 기회 발굴에 특화되어 있습니다. 화면 구성 설명 분석 설정 패널 저작권 배너"
262,코인분석기 3종,score,점수,"트롤 패널 분석 시작 버튼, 자동갱신 토글 버튼이 있습니다. 자동갱신을 켜면 5분마다 자동으로 재분석됩니다. 표시 개수(10/30/50/전체), 정렬 기준(바닥권점수/변동률/RSI), 신호 필터(전체/극과매도/강한매수/매수/중립/매도)를 선택할 수 있습니다. 상태바 분석 상태 표시등이 있어 대기/분석중/완료/오류 상태를 색상으로 구분합니다. 마지막 업데이트 시간이 표시됩니다. 통계 패널 분석 결과 요약 통계가 표시됩니다. 극과"
